subject,video_set,emotion,intensity
7lgboipc,ADFES,sadness,205.895462971469
7lgboipc,ADFES,fear,204.7235284384491
7lgboipc,ADFES,happiness,202.1141264875124
7lgboipc,ADFES,neutrality,91.45904440445592
7lgboipc,JeFEE,surprise,217.19850815812796
7lgboipc,JeFEE,anger,141.97022556425725
7lgboipc,JeFEE,disgust,160.01725884763513
7lgboipc,JeFEE,sadness,124.64205984984828
7lgboipc,JeFEE,fear,155.9758207954403
7lgboipc,JeFEE,happiness,190.60089758731505
7lgboipc,JeFEE,neutrality,75.16968083211236
8jun19d5,ADFES,surprise,155.40423545397962
8jun19d5,ADFES,anger,130.0628644496683
8jun19d5,ADFES,disgust,158.33784528006245
8jun19d5,ADFES,sadness,136.06012353817775
8jun19d5,ADFES,fear,159.89988092087881
8jun19d5,ADFES,happiness,130.54303733426
8jun19d5,ADFES,neutrality,12.650145857975907
8jun19d5,JeFEE,surprise,122.46892353220059
8jun19d5,JeFEE,anger,129.66195144732933
8jun19d5,JeFEE,disgust,135.68294736761356
8jun19d5,JeFEE,sadness,120.84556848921515
8jun19d5,JeFEE,fear,117.08873790473862
8jun19d5,JeFEE,happiness,129.69094153000688
8jun19d5,JeFEE,neutrality,23.85224977447924
8u9fcv0x,ADFES,surprise,233.56013203308405
8u9fcv0x,ADFES,anger,219.00137252055904
8u9fcv0x,ADFES,disgust,215.73278282913364
8u9fcv0x,ADFES,sadness,233.5833698602494
8u9fcv0x,ADFES,fear,229.13826791976737
8u9fcv0x,ADFES,happiness,218.89354701543385
8u9fcv0x,ADFES,neutrality,23.321861120838324
8u9fcv0x,JeFEE,surprise,208.41941878701132
8u9fcv0x,JeFEE,anger,235.09893278634382
8u9fcv0x,JeFEE,disgust,210.8266183498359
8u9fcv0x,JeFEE,sadness,135.32382526182462
8u9fcv0x,JeFEE,fear,169.5861741282587
8u9fcv0x,JeFEE,happiness,203.84305880528177
8u9fcv0x,JeFEE,neutrality,42.45748586986632
8um8sps9,ADFES,surprise,206.03251036746457
8um8sps9,ADFES,anger,168.87259023988346
8um8sps9,ADFES,disgust,191.81642628669854
8um8sps9,ADFES,sadness,179.23193188334392
8um8sps9,ADFES,fear,194.8872577528315
8um8sps9,ADFES,happiness,207.2489202054574
8um8sps9,ADFES,neutrality,14.41465487647835
8um8sps9,JeFEE,surprise,173.07673776145413
8um8sps9,JeFEE,anger,177.04207482645222
8um8sps9,JeFEE,disgust,184.3723783180009
8um8sps9,JeFEE,sadness,155.20570470150994
8um8sps9,JeFEE,fear,126.04930482645801
8um8sps9,JeFEE,happiness,200.36058850953538
8um8sps9,JeFEE,neutrality,38.70983750972313
8y0jbvqm,ADFES,surprise,254.43060359633603
8y0jbvqm,ADFES,anger,222.827412874077
8y0jbvqm,ADFES,disgust,267.5781982223777
8y0jbvqm,ADFES,sadness,231.80612798138105
8y0jbvqm,ADFES,fear,237.23702865264235
8y0jbvqm,ADFES,happiness,226.409367608742
8y0jbvqm,ADFES,neutrality,42.48528403215963
8y0jbvqm,JeFEE,surprise,204.15088163305273
8y0jbvqm,JeFEE,anger,210.4778501163611
8y0jbvqm,JeFEE,disgust,194.431712316633
8y0jbvqm,JeFEE,sadness,202.6862332901846
8y0jbvqm,JeFEE,fear,181.85722168805083
8y0jbvqm,JeFEE,happiness,177.79351347421735
8y0jbvqm,JeFEE,neutrality,67.70013172171484
8zijzjdb,ADFES,surprise,229.92724109248172
8zijzjdb,ADFES,anger,183.30179599029694
8zijzjdb,ADFES,disgust,209.36747603040598
8zijzjdb,ADFES,sadness,161.65727283782851
8zijzjdb,ADFES,fear,209.22203085576888
8zijzjdb,ADFES,happiness,165.22767610303595
8zijzjdb,ADFES,neutrality,27.74614561155106
8zijzjdb,JeFEE,surprise,153.95485380735647
8zijzjdb,JeFEE,anger,142.20699564474035
8zijzjdb,JeFEE,disgust,147.49422155475216
8zijzjdb,JeFEE,sadness,111.9980508382161
8zijzjdb,JeFEE,fear,119.08603601069413
8zijzjdb,JeFEE,happiness,156.3764957215463
8zijzjdb,JeFEE,neutrality,28.112531019977297
92n34v9a,ADFES,surprise,229.8887101404171
92n34v9a,ADFES,anger,199.58423100092256
92n34v9a,ADFES,disgust,235.77873589244038
92n34v9a,ADFES,sadness,197.5800797349516
92n34v9a,ADFES,fear,223.19664732148235
92n34v9a,ADFES,happiness,206.93554373073312
92n34v9a,ADFES,neutrality,32.595824344752344
92n34v9a,JeFEE,surprise,184.8916593295391
92n34v9a,JeFEE,anger,194.05097072101844
92n34v9a,JeFEE,disgust,213.59731912133617
92n34v9a,JeFEE,sadness,168.1099133317695
92n34v9a,JeFEE,fear,150.29631665193935
92n34v9a,JeFEE,happiness,160.86646026970553
92n34v9a,JeFEE,neutrality,41.191110419240815
92pvi1pq,ADFES,surprise,191.39004286388874
92pvi1pq,ADFES,anger,188.84766994465664
92pvi1pq,ADFES,disgust,198.91179964229906
92pvi1pq,ADFES,sadness,187.02404062745254
92pvi1pq,ADFES,fear,161.49861772845844
92pvi1pq,ADFES,happiness,163.47193664421576
92pvi1pq,ADFES,neutrality,8.590049669401234
92pvi1pq,JeFEE,surprise,175.5761207854502
92pvi1pq,JeFEE,anger,183.24892172705793
92pvi1pq,JeFEE,disgust,161.0728750161304
92pvi1pq,JeFEE,sadness,149.9384014255526
92pvi1pq,JeFEE,fear,146.197183795883
92pvi1pq,JeFEE,happiness,197.07961133912872
92pvi1pq,JeFEE,neutrality,30.618807917141915
951c6gi6,ADFES,surprise,167.97205057130716
951c6gi6,ADFES,anger,126.82187609414343
951c6gi6,ADFES,disgust,143.0748558298084
951c6gi6,ADFES,sadness,123.91290454173507
951c6gi6,ADFES,fear,160.9802683150758
951c6gi6,ADFES,happiness,145.1623983072989
951c6gi6,ADFES,neutrality,42.78763522747857
951c6gi6,JeFEE,surprise,132.7764393708777
951c6gi6,JeFEE,anger,138.56185919990975
951c6gi6,JeFEE,disgust,135.7860012578633
951c6gi6,JeFEE,sadness,140.3265908411059
951c6gi6,JeFEE,fear,104.06759108574006
951c6gi6,JeFEE,happiness,136.03191135636166
951c6gi6,JeFEE,neutrality,71.03712695942536
988oxs17,ADFES,surprise,187.502818336742
988oxs17,ADFES,anger,181.27380193271878
988oxs17,ADFES,disgust,212.99956066784418
988oxs17,ADFES,sadness,165.9520709833279
988oxs17,ADFES,fear,190.3498801753065
988oxs17,ADFES,happiness,188.28049879652153
988oxs17,ADFES,neutrality,12.982183294870056
988oxs17,JeFEE,surprise,157.97699955460342
988oxs17,JeFEE,anger,111.89449642757397
988oxs17,JeFEE,disgust,154.41745442503156
988oxs17,JeFEE,sadness,123.95433560455274
988oxs17,JeFEE,fear,103.54984842746263
988oxs17,JeFEE,happiness,189.40003784304963
988oxs17,JeFEE,neutrality,6.306194794190186
9p4umq2j,ADFES,surprise,246.99040941491657
9p4umq2j,ADFES,anger,226.0147278089655
9p4umq2j,ADFES,disgust,227.39969808694113
9p4umq2j,ADFES,sadness,212.90488646069699
9p4umq2j,ADFES,fear,246.37665373147956
9p4umq2j,ADFES,happiness,249.80299902729982
9p4umq2j,ADFES,neutrality,101.77639411311141
9p4umq2j,JeFEE,surprise,225.79985930125304
9p4umq2j,JeFEE,anger,226.23977821110486
9p4umq2j,JeFEE,disgust,219.9048358622632
9p4umq2j,JeFEE,sadness,204.83189231847655
9p4umq2j,JeFEE,fear,209.96503548798393
9p4umq2j,JeFEE,happiness,229.64769106071657
9p4umq2j,JeFEE,neutrality,99.10002417031414
9wp4tjla,ADFES,surprise,250.82105545411792
9wp4tjla,ADFES,anger,224.0015319104089
9wp4tjla,ADFES,disgust,243.91946103174942
9wp4tjla,ADFES,sadness,247.6194654109469
9wp4tjla,ADFES,fear,235.33748029264638
9wp4tjla,ADFES,happiness,252.35099010019465
9wp4tjla,ADFES,neutrality,20.74177823025452
9wp4tjla,JeFEE,surprise,224.60205076591035
9wp4tjla,JeFEE,anger,233.3827427165078
9wp4tjla,JeFEE,disgust,208.11966626709574
9wp4tjla,JeFEE,sadness,226.09296707792842
9wp4tjla,JeFEE,fear,225.6185774830269
9wp4tjla,JeFEE,happiness,215.8725449523897
9wp4tjla,JeFEE,neutrality,57.538893536354884
9yltrizp,ADFES,surprise,212.73579507921374
9yltrizp,ADFES,anger,161.67219390458555
9yltrizp,ADFES,disgust,219.9402944213447
9yltrizp,ADFES,sadness,169.96550705315934
9yltrizp,ADFES,fear,220.75554902758637
9yltrizp,ADFES,happiness,230.59040228577933
9yltrizp,ADFES,neutrality,18.054844424300118
9yltrizp,JeFEE,surprise,143.96734088041683
9yltrizp,JeFEE,anger,155.68088422613354
9yltrizp,JeFEE,disgust,120.43148550953003
9yltrizp,JeFEE,sadness,169.43714825258533
9yltrizp,JeFEE,fear,171.20827849899737
9yltrizp,JeFEE,happiness,181.91859724744373
9yltrizp,JeFEE,neutrality,36.322274662815026
aaal34oe,ADFES,surprise,222.9560726888744
aaal34oe,ADFES,anger,157.62430671895274
aaal34oe,ADFES,disgust,205.12654270451142
aaal34oe,ADFES,sadness,162.75145684319062
aaal34oe,ADFES,fear,223.08899991322403
aaal34oe,ADFES,happiness,212.12359600743784
aaal34oe,ADFES,neutrality,17.860705221921766
aaal34oe,JeFEE,surprise,191.3476735496714
aaal34oe,JeFEE,anger,198.66662923227958
aaal34oe,JeFEE,disgust,171.6123922814301
aaal34oe,JeFEE,sadness,206.68430803000538
aaal34oe,JeFEE,fear,201.17303753814798
aaal34oe,JeFEE,happiness,171.150676610633
aaal34oe,JeFEE,neutrality,15.503797706332195
aqsvfz9l,ADFES,surprise,231.17521747770098
aqsvfz9l,ADFES,anger,217.68198498755388
aqsvfz9l,ADFES,disgust,246.93259572900314
aqsvfz9l,ADFES,sadness,197.7457860083682
aqsvfz9l,ADFES,fear,220.85130957760327
aqsvfz9l,ADFES,happiness,254.32340509233168
aqsvfz9l,ADFES,neutrality,12.124524770979653
aqsvfz9l,JeFEE,surprise,183.43717664716658
aqsvfz9l,JeFEE,anger,158.81301446944505
aqsvfz9l,JeFEE,disgust,191.64788817224917
aqsvfz9l,JeFEE,sadness,139.8601940120593
aqsvfz9l,JeFEE,fear,180.08550298172864
aqsvfz9l,JeFEE,happiness,206.15478474910384
aqsvfz9l,JeFEE,neutrality,18.21280336787059
avr4ulis,ADFES,surprise,234.28260697663427
avr4ulis,ADFES,anger,212.8710759349266
avr4ulis,ADFES,disgust,239.81295691816595
avr4ulis,ADFES,sadness,202.50123356687007
avr4ulis,ADFES,fear,219.28769908777696
avr4ulis,ADFES,happiness,244.6703432551908
avr4ulis,ADFES,neutrality,9.96053778354485
avr4ulis,JeFEE,surprise,116.27136096411371
avr4ulis,JeFEE,anger,135.5018014096372
avr4ulis,JeFEE,disgust,168.082747498912
avr4ulis,JeFEE,sadness,33.10799991693915
avr4ulis,JeFEE,fear,7.958745615824393
avr4ulis,JeFEE,happiness,61.086553630321184
avr4ulis,JeFEE,neutrality,7.380003833447159
b3e2ff37,ADFES,surprise,234.6286380998817
b3e2ff37,ADFES,anger,187.29199876372255
b3e2ff37,ADFES,disgust,223.53954872099723
b3e2ff37,ADFES,sadness,219.8633759757773
b3e2ff37,ADFES,fear,235.71771566294856
b3e2ff37,ADFES,happiness,197.2562702744984
b3e2ff37,ADFES,neutrality,39.13517420490522
b3e2ff37,JeFEE,surprise,189.4920719336353
b3e2ff37,JeFEE,anger,202.4311887396273
b3e2ff37,JeFEE,disgust,222.71608319938747
b3e2ff37,JeFEE,sadness,218.48419174824164
b3e2ff37,JeFEE,fear,208.29759631208978
b3e2ff37,JeFEE,happiness,194.96685903599814
b3e2ff37,JeFEE,neutrality,109.55429966427509
bd1hytn7,ADFES,surprise,160.63954940407643
bd1hytn7,ADFES,anger,125.50393776365968
bd1hytn7,ADFES,disgust,165.80678067810865
bd1hytn7,ADFES,sadness,179.61193128334835
bd1hytn7,ADFES,fear,187.6593351697403
bd1hytn7,ADFES,happiness,177.5726855125391
bd1hytn7,ADFES,neutrality,51.212089698830724
bd1hytn7,JeFEE,surprise,175.56577604191062
bd1hytn7,JeFEE,anger,130.77541489926298
bd1hytn7,JeFEE,disgust,173.38726779920609
bd1hytn7,JeFEE,sadness,155.03760631384708
bd1hytn7,JeFEE,fear,145.64657982844366
bd1hytn7,JeFEE,happiness,174.982558497018
bd1hytn7,JeFEE,neutrality,36.42899275575217
bs077ax2,ADFES,surprise,226.12897372418476
bs077ax2,ADFES,anger,188.8409352931866
bs077ax2,ADFES,disgust,214.7728675505076
bs077ax2,ADFES,sadness,217.89176599967712
bs077ax2,ADFES,fear,234.95334233872265
bs077ax2,ADFES,happiness,222.93234141756542
bs077ax2,ADFES,neutrality,22.905243367382152
bs077ax2,JeFEE,surprise,161.1021333759491
bs077ax2,JeFEE,anger,134.10619328323173
bs077ax2,JeFEE,disgust,125.36648281269913
bs077ax2,JeFEE,sadness,181.45797573913597
bs077ax2,JeFEE,fear,157.44546903721636
bs077ax2,JeFEE,happiness,209.6917013333798
bs077ax2,JeFEE,neutrality,37.15391906985532
bywpsp3z,ADFES,surprise,164.31248241984946
bywpsp3z,ADFES,anger,173.7572629909509
bywpsp3z,ADFES,disgust,173.1721272221772
bywpsp3z,ADFES,sadness,175.2592609354303
bywpsp3z,ADFES,fear,201.12586782296043
bywpsp3z,ADFES,happiness,185.43137738555473
bywpsp3z,ADFES,neutrality,8.825077640870278
bywpsp3z,JeFEE,surprise,144.8818658919728
bywpsp3z,JeFEE,anger,132.32689792540967
bywpsp3z,JeFEE,disgust,151.01191398832808
bywpsp3z,JeFEE,sadness,103.03958435326642
bywpsp3z,JeFEE,fear,123.08690578781842
