"subject","video_set","emotion","acc"
"xj11h22r","ADFES","happiness",0.5
"xj11h22r","JeFEE","surprise",0.5
"xj11h22r","JeFEE","anger",0.5
"xj11h22r","JeFEE","disgust",0.125
"xj11h22r","JeFEE","sadness",0.625
"xj11h22r","JeFEE","fear",0.25
"xj11h22r","JeFEE","happiness",0.375
"y87qkks4","ADFES","surprise",0.875
"y87qkks4","ADFES","anger",0.75
"y87qkks4","ADFES","disgust",0.375
"y87qkks4","ADFES","sadness",0.875
"y87qkks4","ADFES","fear",0.875
"y87qkks4","ADFES","happiness",0.875
"y87qkks4","JeFEE","surprise",0.25
"y87qkks4","JeFEE","anger",0.5
"y87qkks4","JeFEE","disgust",0.75
"y87qkks4","JeFEE","sadness",0.375
"y87qkks4","JeFEE","fear",0.625
"y87qkks4","JeFEE","happiness",0.375
"ygrth0br","ADFES","surprise",1
"ygrth0br","ADFES","anger",0.875
"ygrth0br","ADFES","disgust",0.75
"ygrth0br","ADFES","sadness",1
"ygrth0br","ADFES","fear",0.5
"ygrth0br","ADFES","happiness",0.5
"ygrth0br","JeFEE","surprise",0.25
"ygrth0br","JeFEE","anger",0.75
"ygrth0br","JeFEE","disgust",0.375
"ygrth0br","JeFEE","sadness",0.25
"ygrth0br","JeFEE","fear",0.5
"ygrth0br","JeFEE","happiness",0
"yr9r7swn","ADFES","surprise",1
"yr9r7swn","ADFES","anger",1
"yr9r7swn","ADFES","disgust",0.75
"yr9r7swn","ADFES","sadness",0.75
"yr9r7swn","ADFES","fear",1
"yr9r7swn","ADFES","happiness",1
"yr9r7swn","JeFEE","surprise",0.75
"yr9r7swn","JeFEE","anger",0.625
"yr9r7swn","JeFEE","disgust",0.75
"yr9r7swn","JeFEE","sadness",0.375
"yr9r7swn","JeFEE","fear",0.75
"yr9r7swn","JeFEE","happiness",0.625
"yybqcvmn","ADFES","surprise",1
"yybqcvmn","ADFES","anger",1
"yybqcvmn","ADFES","disgust",1
"yybqcvmn","ADFES","sadness",0.875
"yybqcvmn","ADFES","fear",0.875
"yybqcvmn","ADFES","happiness",0.875
"yybqcvmn","JeFEE","surprise",0.875
"yybqcvmn","JeFEE","anger",0.625
"yybqcvmn","JeFEE","disgust",0.75
"yybqcvmn","JeFEE","sadness",0.875
"yybqcvmn","JeFEE","fear",0.625
"yybqcvmn","JeFEE","happiness",0.5
"z0ymvwd9","ADFES","surprise",1
"z0ymvwd9","ADFES","anger",0.875
"z0ymvwd9","ADFES","disgust",1
"z0ymvwd9","ADFES","sadness",1
"z0ymvwd9","ADFES","fear",0.375
"z0ymvwd9","ADFES","happiness",0.75
"z0ymvwd9","JeFEE","surprise",0.571428571428571
"z0ymvwd9","JeFEE","anger",0.5
"z0ymvwd9","JeFEE","disgust",0.25
"z0ymvwd9","JeFEE","sadness",0.5
"z0ymvwd9","JeFEE","fear",0.875
"z0ymvwd9","JeFEE","happiness",0.625
"z8oj5iji","ADFES","surprise",1
"z8oj5iji","ADFES","anger",0.875
"z8oj5iji","ADFES","disgust",0.875
"z8oj5iji","ADFES","sadness",0.625
"z8oj5iji","ADFES","fear",0.5
"z8oj5iji","ADFES","happiness",0.75
"z8oj5iji","JeFEE","surprise",0.5
"z8oj5iji","JeFEE","anger",1
"z8oj5iji","JeFEE","disgust",0.875
"z8oj5iji","JeFEE","sadness",0.25
"z8oj5iji","JeFEE","fear",0.375
"z8oj5iji","JeFEE","happiness",0.875
"zemiizcq","ADFES","surprise",1
"zemiizcq","ADFES","anger",1
"zemiizcq","ADFES","disgust",0.75
"zemiizcq","ADFES","sadness",0.875
"zemiizcq","ADFES","fear",0.625
"zemiizcq","ADFES","happiness",1
"zemiizcq","JeFEE","surprise",1
"zemiizcq","JeFEE","anger",1
"zemiizcq","JeFEE","disgust",0.5
"zemiizcq","JeFEE","sadness",0.5
"zemiizcq","JeFEE","fear",0.75
"zemiizcq","JeFEE","happiness",0.5
"zzoz9ll0","ADFES","surprise",1
"zzoz9ll0","ADFES","anger",0.875
"zzoz9ll0","ADFES","disgust",1
"zzoz9ll0","ADFES","sadness",0.625
"zzoz9ll0","ADFES","fear",1
"zzoz9ll0","ADFES","happiness",0.875
"zzoz9ll0","JeFEE","surprise",1
"zzoz9ll0","JeFEE","anger",0.625
"zzoz9ll0","JeFEE","disgust",0.375
"zzoz9ll0","JeFEE","sadness",1
"zzoz9ll0","JeFEE","fear",0.75
"zzoz9ll0","JeFEE","happiness",0.25
