Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-7qdz,branch-3wqq,Randomise questionnaire elements?,Question Key,Response
1,1683210821986,04/05/2023 14:33:41,1683210821646,2,04/05/2023 16:33:41,131710,2,questionnaire-fh17,,29290695,473syksy,8723439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x714,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683210855167,04/05/2023 14:34:15,1683210854852,2,04/05/2023 16:34:14,131710,2,questionnaire-fh17,,29290695,473syksy,8723439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x714,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683210855256,04/05/2023 14:34:15,1683210854854,2,04/05/2023 16:34:14,131710,2,questionnaire-fh17,,29290695,473syksy,8723439,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 112.0.0.0,1536x864,1536x714,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,33208
1,1683216108911,04/05/2023 16:01:48,1683248587906,-7,04/05/2023 18:03:07,131710,2,questionnaire-fh17,,29294134,de5z1n9p,8724252,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x789,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683216112709,04/05/2023 16:01:52,1683248591735,-7,04/05/2023 18:03:11,131710,2,questionnaire-fh17,,29294134,de5z1n9p,8724252,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x789,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683216112825,04/05/2023 16:01:52,1683248591737,-7,04/05/2023 18:03:11,131710,2,questionnaire-fh17,,29294134,de5z1n9p,8724252,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 112.0.0.0,1440x900,1440x789,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,3831
1,1683231245776,04/05/2023 20:14:05,1683231246014,2,04/05/2023 22:14:06,131710,2,questionnaire-fh17,,29306639,mb9ge3oi,8726916,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.68,1280x720,1223x609,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
2,1683231250314,04/05/2023 20:14:10,1683231250610,2,04/05/2023 22:14:10,131710,2,questionnaire-fh17,,29306639,mb9ge3oi,8726916,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.68,1280x720,1223x609,Consent check,Generic Consent,1,Consent check,PW,No,ConsentFlag,1
3,1683231250680,04/05/2023 20:14:10,1683231250612,2,04/05/2023 22:14:10,131710,2,questionnaire-fh17,,29306639,mb9ge3oi,8726916,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 112.0.1722.68,1280x720,1223x609,Consent check,Generic Consent,1,Consent check,PW,No,END QUESTIONNAIRE,4598
1,1683268051376,05/05/2023 06:27:31,1683268051190,2,05/05/2023 08:27:31,131710,2,questionnaire-fh17,,29311266,951c6gi6,8728393,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 16.3,1440x900,1440x820,Consent check,Generic Consent,1,Consent check,PW,No,BEGIN QUESTIONNAIRE,
